Date/Time From,Date/Time To,App Registrations,QR Codes Generated,NZBN Registered Businesses,Scans,Manual Entries,Active Devices,Bluetooth Active (24hr)
19/05/2020 12:00,20/05/2020 12:00,"92,595",,,"1,407",0,,
20/05/2020 12:00,21/05/2020 12:00,"143,405","5,800","11,411","11,411",0,,
21/05/2020 12:00,22/05/2020 12:00,"57,000","4,892","23,561","23,561",0,,
22/05/2020 12:00,23/05/2020 12:00,"31,000","1,528","30,275","30,275",0,,
23/05/2020 12:00,24/05/2020 12:00,"30,000",,,"31,444",0,,
24/05/2020 12:00,25/05/2020 12:00,"26,000",,,"29,426",0,,
25/05/2020 12:00,26/05/2020 12:00,"25,000","3,330",,"31,629",0,,
26/05/2020 12:00,27/05/2020 12:00,"17,000","1,510",,"36,794",0,,
27/05/2020 12:00,28/05/2020 12:00,"14,000","1,200",,"39,216",0,,
28/05/2020 12:00,29/05/2020 12:00,"10,000","1,270",,"43,473",0,,
29/05/2020 12:00,30/05/2020 12:00,"12,000",,,"48,091",0,,
30/05/2020 12:00,31/05/2020 12:00,"10,000","1,097","10,679","51,353",0,,
31/05/2020 12:00,01/06/2020 12:00,"8,000",,,"41,061",0,,
01/06/2020 12:00,02/06/2020 12:00,"6,000",588,301,"41,382",0,,
02/06/2020 12:00,03/06/2020 12:00,"5,000","2,797",,"39,801",0,,
03/06/2020 12:00,04/06/2020 12:00,"8,000",,,"43,562",0,,
04/06/2020 12:00,05/06/2020 12:00,"6,000","8,061","4,805","45,368",0,,
05/06/2020 12:00,06/06/2020 12:00,"10,645",,,"49,272",0,,
06/06/2020 12:00,07/06/2020 12:00,"5,355",,,"50,110",0,,
07/06/2020 12:00,08/06/2020 12:00,"5,000","5,431","2,722","47,585",0,,
08/06/2020 12:00,09/06/2020 12:00,"13,000","3,199","1,227","43,688",0,,
09/06/2020 12:00,10/06/2020 12:00,"6,000","2,619",805,"41,358",0,,
10/06/2020 12:00,11/06/2020 12:00,"5,000","1,778",368,"40,404",0,,
11/06/2020 12:00,12/06/2020 12:00,"4,000","1,600",193,"36,798",0,,
12/06/2020 12:00,13/06/2020 12:00,"2,000",777,330,"30,559",0,,
13/06/2020 12:00,14/06/2020 12:00,"2,000",358,171,"26,429",0,,
14/06/2020 12:00,15/06/2020 12:00,"3,000","1,038",435,"26,643",0,,
15/06/2020 12:00,16/06/2020 12:00,"1,000","3,480","1,877","27,261",0,,
16/06/2020 12:00,17/06/2020 12:00,"4,000","4,199","1,729","33,006",0,,
17/06/2020 12:00,18/06/2020 12:00,"3,000","3,136",975,"35,471",0,,
18/06/2020 12:00,19/06/2020 12:00,"4,000","2,491",815,"34,190",0,,
19/06/2020 12:00,20/06/2020 12:00,"2,000",878,352,"24,013",0,,
20/06/2020 12:00,21/06/2020 12:00,"2,000",103,61,"15,886",0,,
21/06/2020 12:00,22/06/2020 12:00,"3,000",516,180,"18,052",0,,
22/06/2020 12:00,23/06/2020 12:00,"1,000","10,081",259,"19,599",0,,
23/06/2020 12:00,24/06/2020 12:00,"2,000",790,212,"19,163",0,"12,169",
24/06/2020 12:00,25/06/2020 12:00,"1,000",284,118,"17,780",0,"13,146",
25/06/2020 12:00,26/06/2020 12:00,"1,000",316,97,"16,174",0,"11,988",
